samplePhase,PMID,YearPub,Journal,Authors,Title,Abstract,PMCID,DOI,concepts,revised concepts,Pathogen,Include ,Exclusion Reason
First,28662761,2017,Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin,"SchjÃ¸rring, Susanne;Stegger, Marc;KjelsÃ¸, Charlotte;Lilje, Berit;Bangsborg, Jette M;Petersen, Randi F;David, Sophia;Uldum, SÃ¸ren A","Genomic investigation of a suspected outbreak of Legionella pneumophila ST82 reveals undetected heterogeneity by the present gold-standard methods, Denmark, July to November 2014.","Between July and November 2014, 15 community-acquired cases of LegionnairesÂ´ disease (LD), including four with Legionella pneumophila serogroup 1 sequence type (ST) 82, were diagnosed in Northern Zealand, Denmark. An outbreak was suspected. No ST82 isolates were found in environmental samples and no external source was established. Four putative-outbreak ST82 isolates were retrospectively subjected to whole genome sequencing (WGS) followed by phylogenetic analyses with epidemiologically unrelated ST82 sequences. The four putative-outbreak ST82 sequences fell into two clades, the two clades were separated by caâ€‰1,700 single nt polymorphisms (SNP)s when recombination regions were included but only by 12 to 21 SNPs when these were removed. A single putative-outbreak ST82 isolate sequence segregated in the first clade. The other three clustered in the second clade, where all included sequences hadâ€‰&lt;â€‰5 SNP differences between them. Intriguingly, this clade also comprised epidemiologically unrelated isolate sequences from the UK and Denmark dating back as early as 2011. The study confirms that recombination plays a major role in L. pneumophila evolution. On the other hand, strains belonging to the same ST can have only few SNP differences despite being sampled over both large timespans and geographic distances. These are two important factors to consider in outbreak investigations.",PMC5490456,10.2807/1560-7917.ES.2017.22.25.30558,genome;outbreak;phylogeny;community,genome;outbreak;phylogeny;international;geography,Legionella pneumophila,Y,
First,28369261,2017,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,"Gorrie, Claire L;Mirceta, Mirjana;Wick, Ryan R;Edwards, David J;Thomson, Nicholas R;Strugnell, Richard A;Pratt, Nigel;Garlick, Jill;Watson, Kerrie;Pilcher, David;McGloughlin, Steven;Spelman, Denis W;Jenney, Adam W J;Holt, Kathryn E",Gastrointestinal carriage is a major reservoir of K. pneumoniae infection in intensive care patients.,"Klebsiella pneumoniae (Kp) is an opportunistic pathogen and leading cause of hospital-associated infections. Intensive care unit (ICU) patients are particularly at risk. Kp is part of the healthy human microbiome, providing a potential reservoir for infection. However, the frequency of gut colonization and its contribution to infections are not well characterized.</AbstractText>: Klebsiella pneumoniae (Kp) is an opportunistic pathogen and leading cause of hospital-associated infections. Intensive care unit (ICU) patients are particularly at risk. Kp is part of the healthy human microbiome, providing a potential reservoir for infection. However, the frequency of gut colonization and its contribution to infections are not well characterized.We conducted a one-year prospective cohort study in which 498 ICU patients were screened for rectal and throat carriage of Kp shortly after admission. Kp isolated from screening swabs and clinical diagnostic samples were characterized using whole genome sequencing and combined with epidemiological data to identify likely transmission events.</AbstractText>: We conducted a one-year prospective cohort study in which 498 ICU patients were screened for rectal and throat carriage of Kp shortly after admission. Kp isolated from screening swabs and clinical diagnostic samples were characterized using whole genome sequencing and combined with epidemiological data to identify likely transmission events.Kp carriage frequencies were estimated at 6% (95% CI, 3%-8%) amongst ICU patients admitted direct from the community, and 19% (95% CI, 14% - 51%) amongst those with recent healthcare contact. Gut colonisation on admission was significantly associated with subsequent infection (infection risk 16% vs 3%, OR=6.9, p&lt;0.001), and genome data indicated matching carriage and infection isolates in 80% of isolate pairs. Five likely transmission chains were identified, responsible for 12% of Kp infections in ICU. 49% of Kp infections were caused by the patients' own unique strain, and 48% of screened patients with infections were positive for prior colonisation.</AbstractText>: Kp carriage frequencies were estimated at 6% (95% CI, 3%-8%) amongst ICU patients admitted direct from the community, and 19% (95% CI, 14% - 51%) amongst those with recent healthcare contact. Gut colonisation on admission was significantly associated with subsequent infection (infection risk 16% vs 3%, OR=6.9, p&lt;0.001), and genome data indicated matching carriage and infection isolates in 80% of isolate pairs. Five likely transmission chains were identified, responsible for 12% of Kp infections in ICU. 49% of Kp infections were caused by the patients' own unique strain, and 48% of screened patients with infections were positive for prior colonisation.These data confirm Kp colonisation is a significant risk factor for infection in ICU, and indicate ~50% of Kp infections result from patients' own microbiota. Screening for colonisation on admission could limit risk of infection in the colonised patient and others.</AbstractText>: These data confirm Kp colonisation is a significant risk factor for infection in ICU, and indicate ~50% of Kp infections result from patients' own microbiota. Screening for colonisation on admission could limit risk of infection in the colonised patient and others.",NA,https://doi.org/10.1093/cid/cix270,whole genome;diversity;surveillance;hospital;transmission,genome;diversity;outbreak;hospital;transmission,Microbiota;Klebsiella pneumonia,Y,
First,28348549,2017,Frontiers in microbiology,"Katz, Lee S;Griswold, Taylor;Williams-Newkirk, Amanda J;Wagner, Darlene;Petkau, Aaron;Sieffert, Cameron;Van Domselaar, Gary;Deng, Xiangyu;Carleton, Heather A",A Comparative Analysis of the Lyve-SET Phylogenomics Pipeline for Genomic Epidemiology of Foodborne Pathogens.,"Modern epidemiology of foodborne bacterial pathogens in industrialized countries relies increasingly on whole genome sequencing (WGS) techniques. As opposed to profiling techniques such as pulsed-field gel electrophoresis, WGS requires a variety of computational methods. Since 2013, United States agencies responsible for food safety including the CDC, FDA, and USDA, have been performing whole-genome sequencing (WGS) on all Listeria monocytogenes found in clinical, food, and environmental samples. Each year, more genomes of other foodborne pathogens such as Escherichia coli, Campylobacter jejuni, and Salmonella enterica are being sequenced. Comparing thousands of genomes across an entire species requires a fast method with coarse resolution; however, capturing the fine details of highly related isolates requires a computationally heavy and sophisticated algorithm. Most L. monocytogenes investigations employing WGS depend on being able to identify an outbreak clade whose inter-genomic distances are less than an empirically determined threshold. When the difference between a few single nucleotide polymorphisms (SNPs) can help distinguish between genomes that are likely outbreak-associated and those that are less likely to be associated, we require a fine-resolution method. To achieve this level of resolution, we have developed Lyve-SET, a high-quality SNP pipeline. We evaluated Lyve-SET by retrospectively investigating 12 outbreak data sets along with four other SNP pipelines that have been used in outbreak investigation or similar scenarios. To compare these pipelines, several distance and phylogeny-based comparison methods were applied, which collectively showed that multiple pipelines were able to identify most outbreak clusters and strains. Currently in the US PulseNet system, whole genome multi-locus sequence typing (wgMLST) is the preferred primary method for foodborne WGS cluster detection and outbreak investigation due to its ability to name standardized genomic profiles, its central database, and its ability to be run in a graphical user interface. However, creating a functional wgMLST scheme requires extended up-front development and subject-matter expertise. When a scheme does not exist or when the highest resolution is needed, SNP analysis is used. Using three Listeria outbreak data sets, we demonstrated the concordance between Lyve-SET SNP typing and wgMLST. Availability: Lyve-SET can be found at https://github.com/lskatz/Lyve-SET.",PMC5346554,10.3389/fmicb.2017.00375,genome;outbreak;vector;phylogeny,,Escherichia coli;Salmonella Enterica;Listeria monocytogenes,N,"Visualization for outbreak pipeline methodology, not more general genomic epidemiology"
First,28277218,2017,Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin,"Briand, FranÃ§ois-Xavier;Schmitz, Audrey;Ogor, Katell;Le Prioux, AurÃ©lie;Guillou-Cloarec, CÃ©cile;Guillemoto, Carole;AllÃ©e, Chantal;Le Bras, Marie-Odile;Hirchaud, Edouard;Quenault, HÃ©lÃ¨ne;Touzain, Fabrice;Cherbonnel-Pansart, Martine;Lemaitre, Evelyne;Courtillon, CÃ©line;Gares, HÃ©lÃ¨ne;Daniel, Patrick;Fediaevsky, Alexandre;Massin, Pascale;Blanchard, Yannick;Eterradossi, Nicolas;van der Werf, Sylvie;Jestin, VÃ©ronique;Niqueux, Eric",Emerging highly pathogenic H5 avian influenza viruses in France during winter 2015/16: phylogenetic analyses and markers for zoonotic potential.,"Several new highly pathogenic (HP) H5 avian influenza virus (AIV) have been detected in poultry farms from south-western France since November 2015, among which an HP H5N1. The zoonotic potential and origin of these AIVs immediately became matters of concern. One virus of each subtype H5N1 (150169a), H5N2 (150233) and H5N9 (150236) was characterised. All proved highly pathogenic for poultry as demonstrated molecularly by the presence of a polybasic cleavage site in their HA protein - with a sequence (HQRRKR/GLF) previously unknown among avian H5 HPAI viruses - or experimentally by the in vivo demonstration of an intravenous pathogenicity index of 2.9 for the H5N1 HP isolate. Phylogenetic analyses based on the full genomes obtained by NGS confirmed that the eight viral segments of the three isolates were all part of avian Eurasian phylogenetic lineage but differed from the Gs/Gd/1/96-like lineage. The study of the genetic characteristics at specific amino acid positions relevant for modulating the adaptation to and the virulence for mammals showed that presently, these viruses possess most molecular features characteristic of AIV and lack some major characteristics required for efficient respiratory transmission to or between humans. The three isolates are therefore predicted to have no significant pandemic potential.",PMC5356430,10.2807/1560-7917.ES.2017.22.9.30473,outbreak;phylogeny,genome;outbreak;phylogeny;vector,Haemophilus Influenza,Y,
First,27746398,2016,Clinical microbiology and infection : the official publication of the European Society of Clinical Microbiology and Infectious Diseases,"PÃ©rez-Lago, L;Izco, S;Herranz, M;TudÃ_, G;CarcelÃ©n, M;Comas, I;Sierra, O;GonzÃ¡lez-MartÃ_n, J;Ruiz-Serrano, M J;Eyene, J;Bouza, E;GarcÃ_a de Viedma, D",A novel strategy based on genomics and specific PCR reveals how aÂ multidrug-resistant Mycobacterium tuberculosis strain became prevalent in Equatorial Guinea 15 years after its emergence.,"OBJECTIVE: Molecular epidemiology techniques in tuberculosis (TB) can identify high-risk strains that are actively transmitted. We aimed to implement a novel strategy to optimize the identification and control of multidrug-resistant (MDR) TB in a specific population.METHODS: We developed a strain-specific PCR tailored from whole genome sequencing (WGS) data to track a specific MDR prevalent strain in Equatorial Guinea (EG-MDR).RESULTS: The PCR was applied prospectively on remnants of GeneXpert reaction mixtures owing to the lack of culture facilities in Equatorial Guinea. In 147 (93%) of 158 cases, we were able to differentiate between infection by the EG-MDR strain or by any other strain and found that 44% of all rifampicin-resistant TB cases were infected by EG-MDR. We also analysed 93 isolates obtained from Equatorial Guinea 15 years ago, before MDR-TB had become the problem it is today. We found that two of the scarce historical MDR cases were infected by EG-MDR. WGS revealed low variability-six single nucleotide polymorphisms acquired by this strain over 15 years-likely because of the lack in the country of a specific program to treat MDR-TB.CONCLUSIONS: Our novel strategy, which integrated WGS analysis and strain-specific PCRs, represents a low-cost, rapid and transferable strategy that allowed a prospective efficient survey and fast historical analysis of MDR-TB in a population.",NA,NA,drug resistance;characterization;genome,,Mycobacterium tuberculosis,M,could be just tehcnique
First,27713836,2016,Microbial genomics,"van Hal, Sebastiaan J;Ip, Camilla L C;Ansari, M Azim;Wilson, Daniel J;Espedido, Bjorn A;Jensen, Slade O;Bowden, Rory",Evolutionary dynamics of Enterococcus faecium reveals complex genomic relationships between isolates with independent emergence of vancomycin resistance.,"Enterococcus faecium, a major cause of hospital-acquired infections, remains problematic because of its propensity to acquire resistance to vancomycin, which currently is considered first-line therapy. Here, we assess the evolution and resistance acquisition dynamics of E. faecium in a clinical context using a series of 132 bloodstream infection isolates from a single hospital. All isolates, of which 49 (37 %) were vancomycin-resistant, underwent whole-genome sequencing. E. faecium was found to be subject to high rates of recombination with little evidence of sequence importation from outside the local E. faecium population. Apart from disrupting phylogenetic reconstruction, recombination was frequent enough to invalidate MLST typing in the identification of clonal expansion and transmission events, suggesting that, where available, whole-genome sequencing should be used in tracing the epidemiology of E. faecium nosocomial infections and establishing routes of transmission. Several forms of the Tn1549-like element-vanB gene cluster, which was exclusively responsible for vancomycin resistance, appeared and spread within the hospital during the study period. Several transposon gains and losses and instances of in situ evolution were inferred and, although usually chromosomal, the resistance element was also observed on a plasmid background. There was qualitative evidence for clonal expansions of both vancomycin-resistant and vancomycin-susceptible E. faecium with evidence of hospital-specific subclonal expansion. Our data are consistent with continuing evolution of this established hospital pathogen and confirm hospital vancomycin-susceptible and vancomycin-resistant E. faecium patient transmission events, underlining the need for careful consideration before modifying current E. faecium infection control strategies.",PMC5049587,10.1099/mgen.0.000048,control;drug resistance;mBio;genome;cluster,control;drug resistance;mBio;genome;cluster;whole genome,Enterococcus faecium,Y,
First,27682810,2016,PloS one,"Cholleti, Harindranath;Hayer, Juliette;Abilio, Ana Paula;Mulandane, Fernando Chanisso;Verner-Carlsson, Jenny;Falk, Kerstin I;Fafetine, Jose M;Berg, Mikael;BlomstrÃ¶m, Anne-Lie",Discovery of Novel Viruses in Mosquitoes from the Zambezi Valley of Mozambique.,"Mosquitoes carry a wide variety of viruses that can cause vector-borne infectious diseases and affect both human and veterinary public health. Although Mozambique can be considered a hot spot for emerging infectious diseases due to factors such as a rich vector population and a close vector/human/wildlife interface, the viral flora in mosquitoes have not previously been investigated. In this study, viral metagenomics was employed to analyze the viral communities in Culex and Mansonia mosquitoes in the Zambezia province of Mozambique. Among the 1.7 and 2.6 million sequences produced from the Culex and Mansonia samples, respectively, 3269 and 983 reads were classified as viral sequences. Viruses belonging to the Flaviviridae, Rhabdoviridae and Iflaviridae families were detected, and different unclassified single- and double-stranded RNA viruses were also identified. A near complete genome of a flavivirus, tentatively named Cuacua virus, was obtained from the Mansonia mosquitoes. Phylogenetic analysis of this flavivirus, using the NS5 amino acid sequence, showed that it grouped with 'insect-specific' viruses and was most closely related to Nakiwogo virus previously identified in Uganda. Both mosquito genera had viral sequences related to Rhabdoviruses, and these were most closely related to Culex tritaeniorhynchus rhabdovirus (CTRV). The results from this study suggest that several viruses specific for insects belonging to, for example, the Flaviviridae and Rhabdoviridae families, as well as a number of unclassified RNA viruses, are present in mosquitoes in Mozambique.",PMC5040392,10.1371/journal.pone.0162751,surveillance;genome;phylogeny,surveillance;genome;phylogeny;diversity;vector,Microbiota,Y,
First,27607836,2016,PLoS neglected tropical diseases,"Antonation, Kym S;GrÃ_tzmacher, Kim;Dupke, Susann;Mabon, Philip;Zimmermann, Fee;Lankester, Felix;Peller, Tianna;Feistner, Anna;Todd, Angelique;Herbinger, Ilka;de Nys, HÃ©lÃ¨ne M;Muyembe-Tamfun, Jean-Jacques;Karhemere, Stomy;Wittig, Roman M;Couacy-Hymann, Emmanuel;Grunow, Roland;Calvignac-Spencer, SÃ©bastien;Corbett, Cindi R;Klee, Silke R;Leendertz, Fabian H",Bacillus cereus Biovar Anthracis Causing Anthrax in Sub-Saharan Africa-Chromosomal Monophyly and Broad Geographic Distribution.,"Through full genome analyses of four atypical Bacillus cereus isolates, designated B. cereus biovar anthracis, we describe a distinct clade within the B. cereus group that presents with anthrax-like disease, carrying virulence plasmids similar to those of classic Bacillus anthracis. We have isolated members of this clade from different mammals (wild chimpanzees, gorillas, an elephant and goats) in West and Central Africa (CÃ´te d'Ivoire, Cameroon, Central African Republic and Democratic Republic of Congo). The isolates shared several phenotypic features of both B. anthracis and B. cereus, but differed amongst each other in motility and their resistance or sensitivity to penicillin. They all possessed the same mutation in the regulator gene plcR, different from the one found in B. anthracis, and in addition, carry genes which enable them to produce a second capsule composed of hyaluronic acid. Our findings show the existence of a discrete clade of the B. cereus group capable of causing anthrax-like disease, found in areas of high biodiversity, which are possibly also the origin of the worldwide distributed B. anthracis. Establishing the impact of these pathogenic bacteria on threatened wildlife species will require systematic investigation. Furthermore, the consumption of wildlife found dead by the local population and presence in a domestic animal reveal potential sources of exposure to humans.",PMC5015827,10.1371/journal.pntd.0004923,outbreak;international,characterization;reservoir;genome,Bacillus anthracis,M,"mostly about animals, but proably Y since transmission to humans, but no humans invovled"
First,27548315,2016,Nature genetics,"Feasey, Nicholas A;Hadfield, James;Keddy, Karen H;Dallman, Timothy J;Jacobs, Jan;Deng, Xiangyu;Wigley, Paul;Barquist Barquist, Lars;Langridge, Gemma C;Feltwell, Theresa;Harris, Simon R;Mather, Alison E;Fookes, Maria;Aslett, Martin;Msefula, Chisomo;Kariuki, Samuel;Maclennan, Calman A;Onsare, Robert S;Weill, FranÃ§ois-Xavier;Le Hello, Simon;Smith, Anthony M;McClelland, Michael;Desai, Prerak;Parry, Christopher M;Cheesbrough, John;French, Neil;Campos, Josefina;Chabalgoity, Jose A;Betancor, Laura;Hopkins, Katie L;Nair, Satheesh;Humphrey, Tom J;Lunguya, Octavie;Cogan, Tristan A;Tapia, Milagritos D;Sow, Samba O;Tennant, Sharon M;Bornstein, Kristin;Levine, Myron M;Lacharme-Lora, Lizeth;Everett, Dean B;Kingsley, Robert A;Parkhill, Julian;Heyderman, Robert S;Dougan, Gordon;Gordon, Melita A;Thomson, Nicholas R",Distinct Salmonella Enteritidis lineages associated with enterocolitis in high-income settings and invasive disease in low-income settings.,"An epidemiological paradox surrounds Salmonella enterica serovar Enteritidis. In high-income settings, it has been responsible for an epidemic of poultry-associated, self-limiting enterocolitis, whereas in sub-Saharan Africa it is a major cause of invasive nontyphoidal Salmonella disease, associated with high case fatality. By whole-genome sequence analysis of 675 isolates of S. Enteritidis from 45 countries, we show the existence of a global epidemic clade and two new clades of S. Enteritidis that are geographically restricted to distinct regions of Africa. The African isolates display genomic degradation, a novel prophage repertoire, and an expanded multidrug resistance plasmid. S. Enteritidis is a further example of a Salmonella serotype that displays niche plasticity, with distinct clades that enable it to become a prominent cause of gastroenteritis in association with the industrial production of eggs and of multidrug-resistant, bloodstream-invasive infection in Africa.",PMC5047355,10.1038/ng.3644,drug resistance;genome;clinical;diagnosis,drug resistance;whole genome;outbreak;international;phylogeny;accessory genome,Salmonella Enterica,Y,
First,27458211,2016,Antimicrobial agents and chemotherapy,"Wallace, Lalena;Daugherty, Sean C;Nagaraj, Sushma;Johnson, J Kristie;Harris, Anthony D;Rasko, David A",Use of Comparative Genomics To Characterize the Diversity of Acinetobacter baumannii Surveillance Isolates in a Health Care Institution.,"Despite the increasing prevalence of the nosocomial pathogen Acinetobacter baumannii, little is known about which genomic components contribute to clinical presentation of this important pathogen. Most whole-genome comparisons of A. baumannii have focused on specific genomic regions associated with phenotypes in a limited number of genomes. In this work, we describe the results of a whole-genome comparative analysis of 254 surveillance isolates of Acinetobacter species, 203 of which were A. baumannii, isolated from perianal swabs and sputum samples collected as part of an infection control active surveillance program at the University of Maryland Medical Center. The collection of surveillance isolates includes both carbapenem-susceptible and -resistant isolates. Based on the whole-genome phylogeny, the A. baumannii isolates collected belong to two major phylogenomic lineages. Results from multilocus sequence typing indicated that one of the major phylogenetic groups of A. baumannii was comprised solely of strains from the international clonal lineage 2. The genomic content of the A. baumannii isolates was examined using large-scale BLAST score ratio analysis to identify genes that are associated with carbapenem-susceptible and -resistant isolates, as well as genes potentially associated with the source of isolation. This analysis revealed a number of genes that were exclusive or at greater frequency in each of these classifications. This study is the most comprehensive genomic comparison of Acinetobacter isolates from a surveillance study to date and provides important information that will contribute to our understanding of the success of A. baumannii as a human pathogen.",PMC5038335,10.1128/AAC.00477-16,characterization;genotype;drug resistance;control,characterization;genotype;drug resistance;surveillence; hospital,Acinetobact baumannii,Y,
