PMID,YearPub,Journal,Authors,Title,Abstract,PMCID,DOI,concepts,Pathogen,replacingPMID,include,exclusionReason
27277215,2016,Helicobacter,"Kumar, Narender;Albert, M John;Al Abkal, Hanan;Siddique, Iqbal;Ahmed, Niyaz",What constitutes an Arabian Helicobacter pylori? Lessons from comparative genomics.,"BACKGROUND: Helicobacter pylori, the human gastric pathogen, causes a variety of gastric diseases ranging from mild gastritis to gastric cancer. While the studies on H.Â pylori are dominated by those based on either East Asian or Western strains, information regarding H.Â pylori strains prevalent in the Middle East remains scarce. Therefore, we carried out whole-genome sequencing and comparative analysis of three H.Â pylori strains isolated from three native Arab, Kuwaiti patients.MATERIALS AND METHODS: H. pylori strains were sequenced using Illumina platform. The sequence reads were filtered and draft genomes were assembled and annotated. Various pathogenicity-associated regions and phages present within the genomes were identified. Phylogenetic analysis was carried out to determine the genetic relatedness of Kuwaiti strains to various lineages of H.Â pylori. The core genome content and virulence-related genes were analyzed to assess the pathogenic potential.RESULTS: The three genomes clustered along with HpEurope strains in the phylogenetic tree comprising various H.Â pylori lineages. A total of 1187 genes spread among various functional classes were identified in the core genome analysis. The three genomes possessed a complete cagPAI and also retained most of the known outer membrane proteins as well as virulence-related genes. The cagA gene in all three strains consisted of an AB-C type EPIYA motif.CONCLUSIONS: The comparative genomic analysis of Kuwaiti H.Â pylori strains revealed a European ancestry and a high pathogenic potential.",NA,NA,cancer;genome;phylogeny;characterization,Helicobacter pylori,10664596,N,23898187 had better visualizations
23898187,2013,Proceedings of the National Academy of Sciences of the United States of America,"Didelot, Xavier;Nell, Sandra;Yang, Ines;Woltemate, Sabrina;van der Merwe, Schalk;Suerbaum, Sebastian",Genomic evolution and transmission of Helicobacter pylori in two South African families.,"Helicobacter pylori infects the stomachs of one in two humans and can cause sequelae that include ulcers and cancer. Here we sequenced the genomes of 97 H. pylori isolates from 52 members of two families living in rural conditions in South Africa. From each of 45 individuals, two H. pylori strains were isolated from the antrum and corpus parts of the stomach, and comparisons of their genomes enabled us to study within-host evolution. In 5 of these 45 hosts, the two genomes were too distantly related to be derived from each other and therefore represented evidence of multiple infections. From the remaining 40 genome pairs, we estimated that the synonymous mutation rate was 1.38 Ã— 10(-5) per site per year, with a low effective population size within host probably reflecting population bottlenecks and immune selection. Some individuals showed very little evidence for recombination, whereas in others, recombination introduced up to 100-times more substitutions than mutation. These differences may reflect unequal opportunities for recombination depending on the presence or absence of multiple infections. Comparing the genomes carried by distinct individuals enabled us to establish probable transmission links. Transmission events were found significantly more frequently between close relatives, and between individuals living in the same house. We found, however, that a majority of individuals (27/52) were not linked by transmission to other individuals. Our results suggest that transmission does not always occur within families, and that coinfection with multiple strains is frequent and evolutionarily important despite a fast turnover of the infecting strains within-host.",PMC3752273,10.1073/pnas.1304681110,outbreak;transmission;genome;characterization;phylogeny,Helicobacter pylori,10664596,Y,
25188031,2014,"Microbial drug resistance (Larchmont, N.Y.)","Papagiannitsis, Costas C;JakubÅ¯, Vladislav;UrbÃ¡Å¡kovÃ¡, Pavla;HrabÃ¡k, Jaroslav","High prevalence of ST131 among CTX-M-producing Escherichia coli from community-acquired infections, in the Czech Republic.","A total of 2,683 nonrepetitive Escherichia coli isolates were collected from microbiological laboratories covering all regions of the Czech Republic, during April 2011. Antimicrobial susceptibility patterns of E. coli were assessed. All 38 cefotaxime-resistant (CTX-R) isolates were found to be extended-spectrum Î_-lactamase (ESBL)-positive by the double-disc synergy test. Thirty-two of those isolates produced enzymes of CTX-M-1 family, five of CTX-M-9 family, and one isolate both CTX-M types. Genotyping by multilocus sequence typing classified all ESBL-producing isolates into 13 sequence types (STs). ST131 was the most prevalent and was exclusively correlated with E. coli belonging to the more-virulent phylogroup B2. blaCTX-M-15 and blaCTX-M-9-like genes were mainly carried by plasmids belonging to the IncF group, while replicon I1 was predominant among CTX-M-1-encoding plasmids. Additionally, 63% of the ESBL-producing isolates were also resistant to ciprofloxacin. Sequence analysis of quinolone resistance-determining regions of gyrA and parC revealed the presence of amino acid substitutions in 22 out of 23 ciprofloxacin-resistant isolates. The acc(6')-Ib-cr and qnrB1 plasmid-mediated quinolone resistance genes were also detected in some of the isolates. This is the first report on the emergence and spread of CTX-M-producing E. coli in the community of the Czech Republic, indicating the high prevalence of ST131 clone among CTX-M producers.",NA,NA,drug resistance;mBio;outbreak;community;genotype,Escherichia coli,10858344,N,not accesible from UBC
28559168,2017,Journal of global antimicrobial resistance,"Casella, Tiago;Cerdeira, Louise T;Fernandes, Miriam R;Souza, Tiago A;Haenni, Marisa;Madec, Jean-Yves;Lincopan, Nilton;Nogueira, Mara C L",Draft genome sequence of a CTX-M-15-producing Escherichia coli ST345 from commercial chicken meat in Brazil.,"Escherichia coli, the main host of the CTX-M-15 extended-spectrum Î_-lactamase (ESBL) enzyme, is widely distributed and exchanged between the environment, animals and humans. Therefore, identification of blaCTX-M-15-positive lineages in food has a significant impact on public health. In this regard, until the end of 1990s, ESBL-producing isolates were mainly associated with hospital-acquired infections, with a predominance of SHV- and TEM-type enzymes. In recent years, a new trend has been observed among ESBL-producers, where most isolates now harbour CTX-M-type, being further isolated from community-acquired infections. Nowadays, CTX-M-15 has been recognised as the most important ESBL variant, invading virtually all human and animal compartments, leading to a global pandemic. Thus, whilst the rapid emergence and dissemination of CTX-M-15 among E. coli isolates has generated a large genetic reservoir from which other members of the Enterobacteriaceae family can easily acquire this resistance gene, there are an increasing number of new reservoirs and transmission mechanisms that must be investigated. In this study, we present the draft genome sequence of a CTX-M-15-producing E. coli ST345 isolated from commercial chicken meat in Brazil. This draft genome can be used as a reference sequence for comparative analysis among CTX-M-15-producers.",NA,NA,drug resistance;genome;outbreak;community;mBio,Escherichia coli,10858344,N,no figures
22761556,2012,PLoS computational biology,"Volz, Erik M;Koopman, James S;Ward, Melissa J;Brown, Andrew Leigh;Frost, Simon D W",Simple epidemiological dynamics explain phylogenetic clustering of HIV from patients with recent infection.,"Phylogenies of highly genetically variable viruses such as HIV-1 are potentially informative of epidemiological dynamics. Several studies have demonstrated the presence of clusters of highly related HIV-1 sequences, particularly among recently HIV-infected individuals, which have been used to argue for a high transmission rate during acute infection. Using a large set of HIV-1 subtype B pol sequences collected from men who have sex with men, we demonstrate that virus from recent infections tend to be phylogenetically clustered at a greater rate than virus from patients with chronic infection ('excess clustering') and also tend to cluster with other recent HIV infections rather than chronic, established infections ('excess co-clustering'), consistent with previous reports. To determine the role that a higher infectivity during acute infection may play in excess clustering and co-clustering, we developed a simple model of HIV infection that incorporates an early period of intensified transmission, and explicitly considers the dynamics of phylogenetic clusters alongside the dynamics of acute and chronic infected cases. We explored the potential for clustering statistics to be used for inference of acute stage transmission rates and found that no single statistic explains very much variance in parameters controlling acute stage transmission rates. We demonstrate that high transmission rates during the acute stage is not the main cause of excess clustering of virus from patients with early/acute infection compared to chronic infection, which may simply reflect the shorter time since transmission in acute infection. Higher transmission during acute infection can result in excess co-clustering of sequences, while the extent of clustering observed is most sensitive to the fraction of infections sampled.",PMC3386305,10.1371/journal.pcbi.1002552,outbreak;cluster,Human Immunodeficy Virus,10912282,Y,
26812489,2016,PLoS neglected tropical diseases,"Mboera, Leonard E G;Mweya, Clement N;Rumisha, Susan F;Tungu, Patrick K;Stanley, Grades;Makange, Mariam R;Misinzo, Gerald;De Nardo, Pasquale;Vairo, Francesco;Oriyo, Ndekya M","The Risk of Dengue Virus Transmission in Dar es Salaam, Tanzania during an Epidemic Period of 2014.","BACKGROUND: In 2010, 2012, 2013 and 2014 dengue outbreaks have been reported in Dar es Salaam, Tanzania. However, there is no comprehensive data on the risk of transmission of dengue in the country. The objective of this study was to assess the risk of transmission of dengue in Dar es Salaam during the 2014 epidemic.PRINCIPAL FINDINGS: This cross-sectional study was conducted in Dar es Salaam, Tanzania during the dengue outbreak of 2014. The study involved Ilala, Kinondoni and Temeke districts. Adult mosquitoes were collected using carbon dioxide-propane powered Mosquito Magnet Liberty Plus traps. In each household compound, water-holding containers were examined for mosquito larvae and pupae. Dengue virus infection of mosquitoes was determined using real-time reverse transcription polymerase chain reaction (qRT-PCR). Partial amplification and sequencing of dengue virus genome in infected mosquitoes was performed. A total of 1,000 adult mosquitoes were collected. Over half (59.9%) of the adult mosquitoes were collected in Kinondoni. Aedes aegypti accounted for 17.2% of the mosquitoes of which 90.6% were from Kinondoni. Of a total of 796 houses inspected, 38.3% had water-holding containers in their premises. Kinondoni had the largest proportion of water-holding containers (57.7%), followed by Temeke (31.4%) and Ilala (23.4%). The most common breeding containers for the Aedes mosquitoes were discarded plastic containers and tires. High Aedes infestation indices were observed for all districts and sites, with a house index of 18.1% in Ilala, 25.5% in Temeke and 35.3% in Kinondoni. The respective container indices were 77.4%, 65.2% and 80.2%. Of the reared larvae and pupae, 5,250 adult mosquitoes emerged, of which 61.9% were Ae. aegypti. Overall, 27 (8.18) of the 330 pools of Ae. aegypti were positive for dengue virus. On average, the overall maximum likelihood estimate (MLE) indicates pooled infection rate of 8.49 per 1,000 mosquitoes (95%CI = 5.72-12.16). There was no significant difference in pooled infection rates between the districts. Dengue viruses in the tested mosquitoes clustered into serotype 2 cosmopolitan genotype.SIGNIFICANCE: Ae. aegypti is the main vector of dengue in Dar es Salaam and breeds mainly in medium size plastic containers and tires. The Aedes house indices were high, indicating that the three districts were at high risk of dengue transmission. The 2014 dengue outbreak was caused by Dengue virus serotype 2. The high mosquito larval and pupal indices in the area require intensification of vector surveillance along with source reduction and health education.",PMC4728062,10.1371/journal.pntd.0004313,clinical;diagnosis;outbreak;genotype;genome;vector,Dengue virus,11027645,N,22761556 was good enough
26118707,2015,[Nihon koshu eisei zasshi] Japanese journal of public health,"Seki, Naomi;Iwashita, Yuko;Moto, Ryoko;Kamiya, Nobuyuki;Kurita, Masayuki;Tahara, Narumi;Hasegawa, Michiya;Shinkai, Takayuki;Hayashi, Yukinao;Sadamasu, Kenji;Kai, Akemi;Nakajima, Yukiko;Watase, Hirotoshi;Ueda, Takashi;Maeda, Hideo;Kobayashi, Kazushi;Ishizaki, Yasue;Hiromatsu, Kyoko","[An autochthonous outbreak of dengue type 1 in Tokyo, Japan 2014].","OBJECTIVES: An outbreak of autochthonous dengue fever was reported in August 2014, with cases suspected mainly from Yoyogi Park in Tokyo. This is the first epidemic of dengue fever in Japan since 1945.METHODS: From August to October 2014, the following measures were taken to control the outbreak: 1) risk communication and information sharing; 2) active case finding; 3) vector surveillance in affected sites; and 4) laboratory testing. We also reviewed the surveillance data as reported to the National Epidemiological Surveillance of Infectious Diseases during the 44 epidemiological weeks. results: An official dengue fever call center was set up temporarily for the general public and 3,005 calls were received. The Tokyo Metropolitan Government issued 39 press releases regarding patients and nine related to dengue virus (DENV) detection and vector control activities for the media. Confirmed autochthonous dengue fever cases were reported between the 35th and 44th epidemiological weeks. Out of 160 cases of outbreak, 108 (67.5%) confirmed cases were reported in Tokyo. The estimated illness onset dates were between August 9 and October 7, and estimated dates of infections were between August 3 and October 3, 2014. The data suggest that the infective mosquitoes had already been present in Yoyogi Park at the end of July 2014. During the weekly vector surveillance at Yoyogi Park, a total of 1,152 adult mosquitoes, of which 856 (73.3%) were Aedes mosquitoes, were collected over 11 weeks by a light trap with dry ice. DENV was detected from adult Aedes mosquito samples collected on the 2nd, 9th, and 16th of September, 2014. Serum samples from 240 suspected cases were examined at the Tokyo Metropolitan Institute of Public Health, and 78 were positive for the DENV NS1 antigen, DENV-specific IgM antibody, or DENV nucleic acid with reverse transcriptase polymerase chain reaction (RT-PCR) (NS1: 66 cases; IgM: 50 cases; PCR: 57 cases). Genetic analysis of DENV-positive serum and mosquito samples found all to be categorized as DENV-serotype 1 (gene type I). Phylogenetic analysis of the envelope protein genome sequence from patients and mosquitoes in Tokyo revealed more than 99% similarity with each other and with the strain from the first outbreak-associated patient in Saitama.CONCLUSION: Measures important for control of infectious disease epidemic were learned during this recent indigenous dengue outbreak in Tokyo. It also highlighted the importance of preparedness for epidemics of indigenous or imported infectious diseases, especially in light of the fact that Tokyo is in preparation for the Olympic and Paralympic Games in 2020.",NA,NA,characterization;clinical;diagnosis;phylogeny;outbreak;genome,Dengue virus,11027645,N,English Version not accessible
21896336,2011,"Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases","Thompson, Cristiane C;Freitas, Fernanda S;Marin, Michel A;Fonseca, Erica L;Okeke, Iruka N;Vicente, Ana Carolina P",Vibrio cholerae O1 lineages driving cholera outbreaks during seventh cholera pandemic in Ghana.,"In recent years, the frequency of cholera epidemics across Africa has increased significantly with thousands of people dying each year. However, there still exists a lack of information concerning the Vibrio cholerae O1 lineages driving early and contemporary epidemics since the seventh cholera pandemic started in the continent. This compromises the understanding of the forces determining the epidemiology of cholera in Africa and its control. This study aimed to analyze a collection of V. cholerae O1 strains from the beginning of the seventh cholera pandemic in Ghana and to compare them with recent isolates to understand the evolution of the cholera epidemic in Ghana. V. cholerae O1 strains were characterized by means of Multilocus Sequence Analysis (MLSA), genes from the virulence core genome (VCG), and genes related to the choleragenic phenotype. Our results revealed two major clusters of Ghanaian V. cholerae O1 strains, El Tor and Amazonia/Ghana. Concerning the virulence genes, all strains harbored the set of VCG and most were positive for VSP-II genomic island. The ctxB gene of the contemporary strains was characterized as Altered El Tor. The strains from 1970 to 1980 were susceptible to all antibiotics tested, except for the Amazonia/Ghana cluster that was resistant to aminoglycosides and carried the class 2 integron with the sat2-aadA1 arrangement. This study showed that distinct V. cholerae O1 were the determinants of cholera outbreaks in Ghana. Thus, in endemic regions, such as Africa, cholera can be caused by various V. cholerae O1 genotypes.",NA,NA,drug resistance;genome;outbreak;genotype,Vibrio cholerae,11220978,Y,
21779167,2011,PLoS pathogens,"Bradley, Evan S;Bodi, Kip;Ismail, Ayman M;Camilli, Andrew",A genome-wide approach to discovery of small RNAs involved in regulation of virulence in Vibrio cholerae.,"Small RNAs (sRNAs) are becoming increasingly recognized as important regulators in bacteria. To investigate the contribution of sRNA mediated regulation to virulence in Vibrio cholerae, we performed high throughput sequencing of cDNA generated from sRNA transcripts isolated from a strain ectopically expressing ToxT, the major transcriptional regulator within the virulence gene regulon. We compared this data set with ToxT binding sites determined by pulldown and deep sequencing to identify sRNA promoters directly controlled by ToxT. Analysis of the resulting transcripts with ToxT binding sites in cis revealed two sRNAs within the Vibrio Pathogenicity Island. When deletions of these sRNAs were made and the resulting strains were competed against the parental strain in the infant mouse model of V. cholerae colonization, one, TarB, displayed a variable colonization phenotype dependent on its physiological state at the time of inoculation. We identified a target of TarB as the mRNA for the secreted colonization factor, TcpF. We verified negative regulation of TcpF expression by TarB and, using point mutations that disrupted interaction between TarB and tpcF mRNA, showed that loss of this negative regulation was primarily responsible for the colonization phenotype observed in the TarB deletion mutant.",PMC3136459,10.1371/journal.ppat.1002126,genome;drug resistance,Vibrio cholerae,11220978,N,"Lab heavy paper, mostly gels & stat plots"
26545848,2015,"Veterinary journal (London, England : 1997)","Figueiredo, Andreza Soriano;Lampe, Elisabeth;do EspÃ_rito-Santo, MÃ¡rcia Paschoal;Mello, Francisco Campello do Amaral;de Almeida, Fernando Queiroz;de Lemos, Elba Regina Sampaio;Godoi, Tatianne Leme Oliveira Santos;Dimache, Luana Avila Giorgia;Dos Santos, Debora Regina Lopes;Villar, Livia Melo",Identification of two phylogenetic lineages of equine hepacivirus and high prevalence in Brazil.,"Non-primate hepacivirus (NPHV), as described in horses, is the virus most genetically related to hepatitis C virus (HCV). Although detected worldwide, limited data on genomic variability and distribution of NPHV are available in Latin America. The aim of this study was to investigate the genetic diversity and prevalence of equine NPHV in Brazil. Thirteen percent of 202 equines from three Brazilian states were positive for NPHV genome by reverse transcriptase PCR. Nucleotide sequences of the partial NS5B genome presented the greatest diversity described to date (25.6%), which is comparable to the upper limit of diversity for HCV subtype classification for the same region. Phylogenetic analysis revealed that Brazilian NPHV sequences along with isolates worldwide form two strongly supported clades (pp = 1.0) suggesting the existence of two distinct lineages.",NA,NA,characterization;phylogeny;genome;diversity,Hepatitis C,11230752,N,"No humans, just horses"
