bigram,n,word1,word2,why,notes
accessori_gene,1,accessori,gene,ignore,too broad
accessori_genom,1,accessori,genom,genome,
accessori_protein,1,accessori,protein,outbreak,disease
acid_delet,1,acid,delet,ignore,
acid_level,1,acid,level,ignore,"too general, possible reservoir"
acid_residu,1,acid,residu,ignore,
acid_resist,1,acid,resist,ignore,cancer
acid_sequenc,3,acid,sequenc,ignore,cancer
acid_site,1,acid,site,ignore,
acid_substitut,4,acid,substitut,ignore,
acinetobact_baumannii,1,acinetobact,baumannii,ignore,
acinetobact_calcoaceticu,1,acinetobact,calcoaceticu,ignore,
acinetobact_speci,1,acinetobact,speci,ignore,
acinetobact_spp,1,acinetobact,spp,ignore,
acquir_hiv,1,acquir,hiv,ignore,
acquir_infect,4,acquir,infect,ignore,
acquir_methicillin,1,acquir,methicillin,drug resistance,
acquir_mrsa,1,acquir,mrsa,drug resistance,
acquir_resist,1,acquir,resist,ignore,phrasing
act_antivir,1,act,antivir,clinical;treatment,
activ_antiretrovir,1,activ,antiretrovir,clinical;treatment,
activ_transmiss,1,activ,transmiss,outbreak,
acut_gastroenter,1,acut,gastroenter,ignore,
acut_hbv,1,acut,hbv,ignore,"pathogen, not useful"
acut_hepat,5,acut,hepat,ignore,
acut_infect,1,acut,infect,ignore,"pathogen, not useful"
acut_respiratori,3,acut,respiratori,ignore,phrasing
acut_viral,3,acut,viral,ignore,too broad
adipos_tissu,1,adipos,tissu,ignore,have more specific terms for strain
aed_aegypti,1,aed,aegypti,vector,
aed_albopictu,1,aed,albopictu,vector,
aeruginosa_clone,1,aeruginosa,clone,ignore,too specific demograhic
aeruginosa_isol,2,aeruginosa,isol,ignore,
aeruginosa_popul,1,aeruginosa,popul,ignore,pathogen
aeruginosa_strain,1,aeruginosa,strain,ignore,
african_american,2,african,american,ignore,
african_countri,1,african,countri,ignore,
african_indian,1,african,indian,ignore,
african_popul,1,african,popul,ignore,pathogen
agr_type,1,agr,type,characterization,
aid_epidem,1,aid,epidem,outbreak,
aid_pandem,1,aid,pandem,outbreak,
aid_patient,1,aid,patient,ignore,too broad
aid_vaccin,1,aid,vaccin,vaccine,
alanin_aminotransferas,2,alanin,aminotransferas,ignore,
allel_divers,1,allel,divers,ignore,too broad
allel_profil,2,allel,profil,ignore,too broad
alt_level,1,alt,level,ignore,
american_lineag,1,american,lineag,characterization,
american_mediterranean,1,american,mediterranean,ignore,deleterious mutations
amino_acid,21,amino,acid,ignore,too broad
aminoglycosid_resist,2,aminoglycosid,resist,drug resistance,
amoxicillin_clavulan,2,amoxicillin,clavulan,drug resistance,"disease, too broad"
ampicillin_chloramphenicol,1,ampicillin,chloramphenicol,drug resistance,
ampicillin_resist,1,ampicillin,resist,drug resistance,
amplifi_fragment,1,amplifi,fragment,ignore,
analys_reveal,1,analys,reveal,ignore,
analysi_mlva,9,analysi,mlva,genotype,
analysi_reveal,17,analysi,reveal,ignore,phrasing
anim_health,1,anim,health,ignore,phrasing
anim_model,1,anim,model,ignore,
annual_epidem,1,annual,epidem,ignore,phrasing
anti_hb,1,anti,hb,ignore,phrasing
anti_hbc,3,anti,hbc,ignore,
anti_hbe,1,anti,hbe,ignore,
anti_hcv,1,anti,hcv,ignore,method
anti_hev,2,anti,hev,ignore,to general
anti_hiv,1,anti,hiv,ignore,ebola most likelu
anti_influenza,1,anti,influenza,ignore,
anti_tuberculosi,1,anti,tuberculosi,ignore,
antibiot_resist,13,antibiot,resist,drug resistance,
antibiot_suscept,6,antibiot,suscept,drug resistance,
antibodi_respons,1,antibodi,respons,ignore,
antibodi_titer,1,antibodi,titer,ignore,have more specific terms for strain
antigen_analysi,1,antigen,analysi,ignore,
antigen_anti,1,antigen,anti,ignore,
antigen_character,1,antigen,character,ignore,
antigen_class,1,antigen,class,ignore,"disease, too broad"
antigen_distinct,1,antigen,distinct,ignore,"pathogen, not useful"
antigen_drift,1,antigen,drift,ignore,
antigen_hbeag,1,antigen,hbeag,ignore,
antigen_hbsag,3,antigen,hbsag,ignore,
antigen_hla,3,antigen,hla,ignore,
antigen_shift,1,antigen,shift,ignore,pathogen
antigen_site,1,antigen,site,ignore,
antimicrobi_agent,4,antimicrobi,agent,drug resistance,
antimicrobi_resist,8,antimicrobi,resist,drug resistance,too broad
antimicrobi_suscept,8,antimicrobi,suscept,drug resistance,
antiretrovir_drug,1,antiretrovir,drug,clinical;treatment,
antiretrovir_resist,1,antiretrovir,resist,drug resistance,pathogen
antiretrovir_therapi,1,antiretrovir,therapi,clinical;treatment,have more specific terms for strain
